year,teamID,franchID,lgID,name,wins,losses,runs_scored,runs_allowed,nl_winner,al_winner,ws_winner,ws_game_wins,series_length
2002,ANA,ANA,AL,Anaheim Angels,99,63,851,644,0,1,1,4,7
2002,SFN,SFG,NL,San Francisco Giants,95,66,783,616,1,0,0,3,7
2003,FLO,FLA,NL,Florida Marlins,91,71,751,692,1,0,1,4,6
2003,NYA,NYY,AL,New York Yankees,101,61,877,716,0,1,0,2,6
2004,BOS,BOS,AL,Boston Red Sox,98,64,949,768,0,1,1,4,4
2004,SLN,STL,NL,St. Louis Cardinals,105,57,855,659,1,0,0,0,4
2005,CHA,CHW,AL,Chicago White Sox,99,63,741,645,0,1,1,4,4
2005,HOU,HOU,NL,Houston Astros,89,73,693,609,1,0,0,0,4
2006,SLN,STL,NL,St. Louis Cardinals,83,78,781,762,1,0,1,4,5
2006,DET,DET,AL,Detroit Tigers,95,67,822,675,0,1,0,1,5
2007,BOS,BOS,AL,Boston Red Sox,96,66,867,657,0,1,1,4,4
2007,COL,COL,NL,Colorado Rockies,90,73,860,758,1,0,0,0,4
2008,PHI,PHI,NL,Philadelphia Phillies,92,70,799,680,1,0,1,4,5
2008,TBA,TBD,AL,Tampa Bay Rays,97,65,774,671,0,1,0,1,5
2009,NYA,NYY,AL,New York Yankees,103,59,915,753,0,1,1,4,6
2009,PHI,PHI,NL,Philadelphia Phillies,93,69,820,709,1,0,0,2,6
2010,SFN,SFG,NL,San Francisco Giants,92,70,697,583,1,0,1,4,5
2010,TEX,TEX,AL,Texas Rangers,90,72,787,687,0,1,0,1,5
2011,SLN,STL,NL,St. Louis Cardinals,90,72,762,692,1,0,1,4,7
2011,TEX,TEX,AL,Texas Rangers,96,66,855,677,0,1,0,3,7
2012,SFN,SFG,NL,San Francisco Giants,94,68,718,649,1,0,1,4,4
2012,DET,DET,AL,Detroit Tigers,88,74,726,670,0,1,0,0,4
2013,BOS,BOS,AL,Boston Red Sox,97,65,853,656,0,1,1,4,7
2013,SLN,STL,NL,St. Louis Cardinals,97,65,783,596,1,0,0,3,7
2014,SFN,SFG,NL,San Francisco Giants,88,74,665,614,1,0,1,4,7
2014,KCA,KCR,AL,Kansas City Royals,89,73,651,624,0,1,0,3,7
2015,KCA,KCR,AL,Kansas City Royals,95,67,724,641,0,1,1,4,5
2015,NYN,NYM,NL,New York Mets,90,72,683,613,1,0,0,1,5
2016,CHN,CHC,NL,Chicago Cubs,103,58,808,556,1,0,1,4,7
2016,CLE,CLE,AL,Cleveland Indians,94,67,777,676,0,1,0,3,7
2017,HOU,HOU,AL,Houston Astros,101,61,896,700,0,1,1,4,7
2017,LAN,LAD,NL,Los Angeles Dodgers,104,58,770,580,1,0,0,3,7
2018,BOS,BOS,AL,Boston Red Sox,108,54,876,647,0,1,1,4,5
2018,LAN,LAD,NL,Los Angeles Dodgers,92,71,804,610,1,0,0,1,5
2019,WAS,WSN,NL,Washington Nationals,93,69,873,724,1,0,1,4,7
2019,HOU,HOU,AL,Houston Astros,107,55,920,640,0,1,0,3,7
2020,LAN,LAD,NL,Los Angeles Dodgers,43,17,349,213,1,0,1,4,6
2020,TBA,TBD,AL,Tampa Bay Rays,40,20,289,229,0,1,0,2,6
2021,ATL,ATL,NL,Atlanta Braves,88,73,790,656,1,0,1,4,6
2021,HOU,HOU,AL,Houston Astros,95,67,863,658,0,1,0,2,6
2022,HOU,HOU,AL,Houston Astros,106,56,737,518,0,1,1,4,6
2022,PHI,PHI,NL,Philadelphia Phillies,87,75,747,685,1,0,0,2,6
2023,TEX,TEX,AL,Texas Rangers,90,72,881,716,0,1,1,4,5
2023,ARI,ARI,NL,Arizona Diamondbacks,84,78,746,761,1,0,0,1,5
2024,LAN,LAD,NL,Los Angeles Dodgers,98,64,842,686,1,0,1,4,5
2024,NYA,NYY,AL,New York Yankees,94,68,815,668,0,1,0,1,5
2025,LAN,LAD,NL,Los Angeles Dodgers,93,69,825,683,,,,,
2025,MIL,MIL,NL,Milwaukee Brewers,97,65,806,634,,,,,
2025,TOR,TOR,AL,Toronto Blue Jays,94,68,798,721,,,,,
2025,SEA,SEA,AL,Seattle Mariners,90,72,766,694,,,,,
